cd_linha,nm_linha,nm_onibus,pop_buffer
114,695D-10,METRÔ JABAQUARA - JD. STA. BARBARA,8115
614,971R-10,METRÔ SANTANA - CPTM JARAGUÁ,26798
770,6412-10,PAULISTA - PARAISÓPOLIS,8121
782,745M-10,SHOP. SP MARKET - CAMPO LIMPO,30940
942,2727-10,CONJ. A. E. CARVALHO - METRÔ ARTUR ALVIM,22
1125,5123-10,HOSP. SÃO PAULO - JD. MIRIAM,9915
1505,6970-10,TERM. STO. AMARO - TERM. GRAJAÚ,2168
2506,8000-1,PÇA. RAMOS DE AZEVEDO - TERM. LAPA,8320
33158,273N-10,METRÔ VL. MATILDE - CID. KEMEL II,62210
33188,8062-10,LAPA - PQ. SÃO DOMINGOS,7605
33348,8549-10,PÇA. DO CORREIO - TAIPAS,25152
33687,2707-10,METRÔ ITAQUERA - CHABILÂNDIA,19748
33700,2719-10,METRÔ VL. MATILDE - ERMELINO MATARAZZO,9619
34056,5757-10,METRÔ CONCEIÇÃO - CID. JÚLIA,21571
34210,5370-10,LGO. SÃO FRANCISCO - TERM. VARGINHA,11041
