          Assessoria do Cadastro da Frota e dos Operadores - DO/ACF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEÍCULOS MOVIDOS A BATERIA - 15/09/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lote,Empresa,Prefixo,Placa,Chassi,Data de Inclusão,Tipo de Vínculo,Tecnologia,Marca/Modelo Carroceria,Marca/Modelo Chassi,Ano Fabricação,Ano Modelo,Subvenção  S / N,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41100,GEV7G11 ,96JE3M39URB000002 ,11/09/2023 ,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,N,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41101,ELI8D71 ,96JE3M39URB000003 ,11/09/2023 ,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,N,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41102,FIP5C12 ,96JE3M39URB000004 ,11/09/2023 ,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,N,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41103,FJQ3D62 ,96JE3M39URB000005 ,11/09/2023 ,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,N,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41104,FYE4E53 ,96JE3M39URB000006 ,11/09/2023 ,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,N,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41105,EVO6F53 ,96JE3M39URB000007 ,11/09/2023 ,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,N,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41106,GHJ7B33 ,96JE3M39URB000008 ,11/09/2023 ,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,N,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41107,FPQ5I74 ,96JE3M39URB000009 ,11/09/2023 ,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,N,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41108,FQR0C84 ,96JE3M39URB000010 ,11/09/2023 ,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,N,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41109,FNB3H64 ,96JE3M39URB000011 ,11/09/2023 ,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,N,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41110,SSV0G94,96JE3M39URB000039 ,3/29/2024,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,N,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41111,SVE5C76,96JE3M39URB000068 ,4/23/2024,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,S,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41112,SSX0J56,96JE3M39URB000075 ,4/23/2024,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,S,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41113,SWL1I15,96JE3M39URB000046 ,4/24/2024,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,S,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41114,SUX1A55,96JE3M39URB000047 ,4/23/2024,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,S,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41115,SUK1C25,96JE3M39URB000057 ,4/19/2024,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,S,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41116,SVL4A75,96JE3M39URB000060 ,4/23/2024,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,S,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41117,SVG1G65,96JE3M39URB000061 ,4/19/2024,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,S,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41118,SUU0C47,96JE3M39URB000076 ,4/19/2024,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,S,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41119,SVZ3G27,96JE3M39URB000077 ,4/23/2024,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,S,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41120,SWH6B27,96JE3M39URB000081 ,4/20/2024,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,S,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41121,SVE6A92,96JE3M39URB000096 ,4/23/2024,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,S,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41122,SWR3B43,96JE3M39URB000018 ,4/19/2024,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,S,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41123,SWQ2F01,96JE3M39URB000019 ,4/23/2024,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,S,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41124,GAK4H01,96JE3M39URB000055 ,4/24/2024,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,S,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41125,SVS5J01,96JE3M39URB000059 ,4/19/2024,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,S,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41126,SWY0C01,96JE3M39URB000078 ,4/19/2024,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,S,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41127,SSZ7F12,96JE3M39URB000086 ,4/24/2024,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,S,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41128,STZ0D27,96JE3M39URB000087 ,4/24/2024,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,S,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41129,SUS8F16,96JE3M39URB000065 ,4/19/2024,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,S,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41130,SWK3I66,96JE3M39URB000067 ,4/24/2024,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,S,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41131,GCI6C82,96JE3M39URB000120 ,4/25/2024,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,S,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41132,SWC7G12,96JE3M39URB000121 ,4/19/2024,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,S,,,,,,,,,,,,,,,,,,,,
AR0 ,Ambiental,41133,SVH7H12,96JE3M39URB000122 ,4/24/2024,Patrimonial,ePadron 15M,Caio - eMillennium,Scania/Eletra - K310 UB 6x2*4 ,2023,2024,S,,,,,,,,,,,,,,,,,,,,
